"","name","gender","instType","country","lead","degOut","degIn","bet","eig","close","cores","res","degAll","vertID"
"DeHaroC","DeHaroC",NA,NA,NA,"N",NA,1,0,0.00634421624467933,1.78475816526861e-05,1,0.213361430361624,1,95
"DelToroOrozcoW","DelToroOrozcoW",NA,NA,NA,"N",NA,1,0,0,6.68056223611779e-06,1,0.276803592808417,1,96
"DeMaddalenaA","DeMaddalenaA",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,97
"DiasR","DiasR",NA,NA,NA,"N",NA,1,0,0.0245415563516059,1.78667143112382e-05,1,0.0313880292923586,1,98
"DíazAguirreF","DíazAguirreF","Male","University","Chile","Y",7,NA,0,0,6.37726632101883e-06,1,0.276803592808417,7,99
"DiBenedittoA","DiBenedittoA","Female","University","Brazil","Y",NA,5,0,0.288148170307575,1.7951709900368e-05,4,2.60467811026733,5,100
"DiBerardinisA","DiBerardinisA",NA,NA,NA,"N",NA,1,0,0,6.6790451637034e-06,1,0.276803592808417,1,101
"DimitriadisC","DimitriadisC",NA,NA,NA,"N",NA,1,0,0,6.47525803903286e-06,1,0.276803592808417,1,102
"DittE","DittE",NA,NA,NA,"N",NA,1,0,0.066762183718241,1.79144049730388e-05,1,0.390818244373993,1,103
"DizonA","DizonA",NA,NA,NA,"N",NA,1,0,0,6.68056223611779e-06,1,0.276803592808417,1,104
"DornelesP","DornelesP",NA,NA,NA,"N",NA,1,0,0.051627899716061,1.79076680634648e-05,1,0.239475404352193,1,105
"DrehmerC","DrehmerC","Male","University","Brazil","Y",3,NA,0,0.00429195254843746,1.78501303059512e-05,2,0.233884067324043,3,106
"DunkerP","DunkerP",NA,NA,NA,"N",NA,1,0,0.066762183718241,1.79144049730388e-05,1,0.390818244373993,1,107
"DussánDuqueS","DussánDuqueS",NA,NA,NA,"N",NA,1,0,0.066762183718241,1.79144049730388e-05,1,0.390818244373993,1,108
"EchegarayM","EchegarayM",NA,NA,NA,"N",NA,1,0,0.0338453351379079,1.79256444269171e-05,1,0.0616497585706614,1,109
"EdwardsH","EdwardsH",NA,NA,NA,"N",NA,1,0,0.00823456072637811,1.78810907465355e-05,1,0.194457985544636,1,110
"EminLimaN","EminLimaN","Female","Government","Brazil","Y",3,1,9,0.00844351001034385,1.78830093528139e-05,1,0.251161841807015,4,111
"EngelM","EngelM",NA,NA,NA,"N",NA,2,0,0.0258535621656261,1.78974120342199e-05,2,0.0182679711521561,2,112
"EscobarFernándezR","EscobarFernándezR",NA,NA,NA,"N",NA,1,0,0,6.67788551433074e-06,1,0.276803592808417,1,113
"EstesS","EstesS",NA,NA,NA,"N",NA,1,0,0.000682510495027481,1.78021469389208e-05,1,0.269978487858143,1,114
"EstevezM","EstevezM",NA,NA,NA,"N",NA,1,0,0,6.3448153341497e-06,1,0.276803592808417,1,115
"EstimaS","EstimaS",NA,NA,NA,"N",NA,1,0,0.0466307473092632,1.78673527730132e-05,1,0.189503880284215,1,116
"FabiánM","FabiánM",NA,NA,NA,"N",NA,2,0,0.00310615408304007,1.78612892278565e-05,2,0.245742051978017,2,117
"FaillaSiquierG","FaillaSiquierG","Female","University","Uruguay","Y",1,NA,0,0,6.47475493052588e-06,1,0.276803592808417,1,118
"FalconíJ","FalconíJ",NA,NA,NA,"N",NA,1,0,0.00729709419670692,1.78510862385976e-05,1,0.203832650841348,1,119
"FaustinoC","FaustinoC","Female","University","Portugal","Y",1,NA,0,0.00823456072637811,1.78810907465355e-05,1,0.194457985544636,1,120
"FélixF","FélixF","Male","NGO","Ecuador","Y",3,2,12,0.0803436666086705,1.79346461494315e-05,3,0.448241941142239,5,121
"FernandesM","FernandesM","Female","Other","Brazil","Y",4,NA,0,0.0793801809691324,1.79028590865961e-05,1,0.516998216882907,4,122
"FerrerPérezA","FerrerPérezA",NA,NA,NA,"N",NA,1,0,0.00511077917810428,1.78396218000178e-05,1,0.225695801027375,1,123
"FertlD","FertlD","Female","Other","USA","Y",4,1,24,0.00751468929839962,1.78852482472457e-05,1,0.358438964096518,5,124
"FettucciaD","FettucciaD",NA,NA,NA,"N",NA,1,0,0.00823456072637812,1.78810907465355e-05,1,0.194457985544636,1,125
"FidelixL","FidelixL",NA,NA,NA,"N",NA,1,0,0.00634421624467933,1.78475816526861e-05,1,0.213361430361624,1,126
"FillaG","FillaG",NA,NA,NA,"N",NA,2,0,0.118390083434302,1.79459110241731e-05,2,0.907097241534602,2,127
"FlachL","FlachL",NA,NA,NA,"N",NA,3,0,0.129739927206078,1.79655779526427e-05,3,1.02059567925236,3,128
"FloresP","FloresP","Male","Government","Brazil","Y",20,3,259.430952380952,0.320758433546139,1.80056897979762e-05,4,1.23602357029663,23,129
"FlórezGonzálezL","FlórezGonzálezL",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,130
"ForestellP","ForestellP","Male","NGO","USA","Y",1,1,6,0,6.68091929449492e-06,1,0.315999158876442,2,131
"FountouraN","FountouraN",NA,NA,NA,"N",NA,1,0,0.0291324083499289,1.79214681266689e-05,1,0.0145204906908717,1,132
"FragosoA","FragosoA",NA,NA,NA,"N",NA,3,0,0.126199536153237,1.79478435665955e-05,3,0.98519176872395,3,133
"FraijaN","FraijaN","Female","University","Spain","Y",2,NA,0,0,6.29714990995076e-06,1,0.276803592808417,2,134
"FrancoFraguasP","FrancoFraguasP",NA,NA,NA,"N",NA,1,0,0,6.47509032751007e-06,1,0.276803592808417,1,135
"FrancoTrecuV","FrancoTrecuV","Female","University","Uruguay","Y",6,NA,0,0,6.47576122573208e-06,2,0.276803592808417,6,136
"FreitasA","FreitasA",NA,NA,NA,"N",NA,1,0,0.000433682271619853,1.77336407164391e-05,1,0.272466770092219,1,137
"FreitasJ","FreitasJ",NA,NA,NA,"N",NA,1,0,2.41723870021151e-05,1.76928520877565e-05,1,0.276561868938396,1,138
"FreitasT","FreitasT",NA,NA,NA,"N",NA,2,0,0,6.54219058709618e-06,2,0.276803592808417,2,139
"FruetP","FruetP",NA,NA,NA,"N",NA,1,0,0.00119478029111239,1.77676699477631e-05,1,0.264855789897294,1,140
"FurtadoNetoM","FurtadoNetoM",NA,NA,NA,"N",NA,3,0,0.00283368361842762,1.78552297968075e-05,1,0.248466756624141,3,141
"GallegoP","GallegoP",NA,NA,NA,"N",NA,1,0,0.022586417992302,1.78942094338272e-05,1,0.0509394128853976,1,142
"GallettiVernazzaniB","GallettiVernazzaniB",NA,NA,NA,"N",NA,1,0,0,6.29711025610347e-06,1,0.276803592808417,1,143
"GalloB","GalloB",NA,NA,NA,"N",NA,1,0,0,6.3448153341497e-06,1,0.276803592808417,1,144
